mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
wuliuhenkuai	物_流__很__快___
diertianjiudaole	第_二_天___就__到__了_
shoujihenpiaoliang	手___机_很__漂___亮____
suduhenkuai	速_度_很__快___
haoping	好__评___
xiangsuhencha	像____素_很__差__
yongbuledianxinka	用___不_了_电___信__卡_
henyumen	很__郁_闷__
jiagedishigeyoudian	价__格_低_是__个_优__点___
yingjiankenengchadian	硬___件___可_能___差__点___
danshipingshibuwanyouxi	但__是__平___时__不_玩__游__戏_
yingxiangbuda	影___响____不_大_
haizaishiyongzhong	还__在__试__用___中____
shizhengpin	是__正____品__
gongnenghenhao	功___能___很__好__
jiushiliangeyuanzhuangpingbaodoumeiyou	就__是__连___个_原___装_____屏___保__都__没__有__
zongtihaikeyi	总___体_还__可_以_
secaipeibibuhao	色_彩__配__比_不_好__
diaozhenglengnuanyemeiyouyong	调___整____冷___暖___也_没__有__用___
dianhuabenkuaisuxuanzeshouzimushifanyingchidun	电___话__本__快___速_选___择_首___字_母_时__反__应___迟__钝__
baobeiyidaoshouyongzheganjuebucuo	宝__贝__已_到__手___用___着__感__觉__不_错__
yunxingsudukuai	运__行___速_度_快___
fahuosuduyehenkuai	发_货__速_度_也_很__快___
zhidegoumai	值__得_购__买__
haikeyi	还__可_以_
yizhidouxiangmaile	一_直__都__想____买__了_
zhenongzhiyao799jiumaixiale	这__农___只__要__799就__买__下__了_
henhaodeshouji	很__好__的_手___机_
xingjiabigao	性___价__比_高__
tongdengjiaweidejihuang	同___等___价__位__的_机_皇____
5depingmuhaoda	5的_屏___幕_好__大_
zhegejiagezhile	这__个_价__格_值__了_
yongduanshijianzaizhuijiapinglun	用___段___时__间___再__追___加__评___论__
shoujixingnengbucuo	手___机_性___能___不_错__
bangpengyoumaide	帮___朋___友__买__的_
jiushiyaominika	就__是__要__迷_你_卡_
youdianxiaoshiwang	有__点___小___失__望___
buhao	不_好__
rongyisiji	容___易_死_机_
farehenyanzhong	发_热_很__严__重____
zhengpinshouji	正____品__手___机_
xiangsuhaihao	像____素_还__好__
jiushimeiyouerji	就__是__没__有__耳_机_
haimeiyoushi	还__没__有__试__
buguodakaikanlexia	不_过__打_开__看__了_下__
waiguantingmanyi	外__观___挺___满__意_
zhengzaiyong	正____在__用___
yinggaikeyiba	应___该__可_以_吧_
maijitaile	买__几_台__了_
shoujihenpiaolianghenhao	手___机_很__漂___亮____很__好__
woshibangpengyoumaide	我_是__帮___朋___友__买__的_
nadaoshoushangdeshihouzenmeganjuemeilanmetaldehougaidoushishisuliao	拿_到__手___上____的_时__候__怎__么_感__觉__魅__蓝__metal的_后__盖__都__是__是__塑_料___
buguohenpiaoliang	不_过__很__漂___亮____
shoujizuodehenbao	手___机_做__的_很__薄__
antutupaofenyehengao	安_兔_兔_跑__分__也_很__高__
chashoujisimkadeshihouxuyaonazhongzuixiaodeka	插__手___机_sim卡_的_时__候__需_要__那_种____最__小___的_卡_
haiwoyouyaodaoyingyetinghuanka	害__我_又__要__到__营___业_厅___换___卡_
haiyouyigejiushi	还__有__一_个_就__是__
neicunkachalehaoxiangmeishenmeyong	内__存__卡_插__了_好__像____没__什___么_用___
genbenbunengbayingyonganzhuangjinqu	根__本__不_能___把_应___用___安_装_____进__去_
2gdeyunxingneicunwanyouximeiyousihaokadun	2g的_运__行___内__存__玩__游__戏_没__有__丝_毫__卡_顿__
nadaoshoujiuyijingxingfenbuyi	拿_到__手___就__已_经___兴___奋__不_已_
chaikaikanwaiguangefangmiandouhenheshi	拆___开__看__外__观___各_方___面___都__很__合_适__
zan	赞__
juedehenpiaoliang	觉__得_很__漂___亮____
zijihenxihuan	自_己_很__喜_欢___
buguobuzhidaoshixiangsuyouwentihaishiwomeinonghao	不_过__不_知__道__是__像____素_有__问__题_还__是__我_没__弄___好__
juedehuazhiyoudiancha	觉__得_画__质__有__点___差__
5debolibumingxian	5的_玻_璃_不_明___显___
jinshuqipenleyihouganjuexiangsuliaoke	金__属__漆_喷__了_以_后__感__觉__像____塑_料___壳_
pingmuda	屏___幕_大_
dianchinaiyong	电___池__耐__用___
xingjiabigao	性___价__比_高__
henxihuan	很__喜_欢___
zhilianghenbucuo	质__量____很__不_错__
henyouxingjiabi	很__有__性___价__比_
zhidedajiahuodonggoumai	值__得_大_家__活__动___购__买__
shoujiwaiguanhenhaokan	手___机_外__观___很__好__看__
shizhengpin	是__正____品__
shangshouhoutiyanxiaoguoyehenhao	上____手___后__体_验__效___果__也_很__好__
xitongliuchang	系_统___流__畅____
jiemianjianjie	界__面___简___洁__
laopohenxihuan	老__婆_很__喜_欢___
bucuo	不_错__
meizushoujihenhaoyong	魅__族_手___机_很__好__用___
xihuan	喜_欢___
kajibushuo	卡_机_不_说___
haodianchaojikuai	耗__电___超___级_快___
xiacihaishimaixiaomishouji	下__次_还__是__买__小___米_手___机_
meizudeshizaihenshiwang	魅__族_的_实__在__很__失__望___
shouganbucuo	手___感__不_错__
kexi	可_惜_
zuogongtaicucao	做__工___太__粗_糙__
daaideshuo	大_爱_的_说___
zaicizanyixia	再__次_赞__一_下__
yuanlaishiyinheihehuisedecaisong	原___来__是__银__黑__和_灰__色_的_才__送___
weiyiyoudianxiaoyihan	唯__一_有__点___小___遗_憾__
dakaibaozhuangdeshihouzenmefaxianshaoleyigezengsongdeerjine	打_开__包__装_____的_时__候__怎__么_发_现___少___了_一_个_赠___送___的_耳_机_呢_
houlaikanjianjie	后__来__看__简___介__
haha	哈_哈_
chaozandeyikuanshouji	超___赞__的_一_款___手___机_
diyiciyongmeizu	第_一_次_用___魅__族_
xinlilveyoutante	心__里_略__有__忐__忑_
buguoyidiandoumeiyourangwoshiwang	不_过__一_点___都__没__有__让___我_失__望___
bixiangxiangzhongdehaiyaohao	比_想____象____中____的_还__要__好__
yonglejitian	用___了_几_天___
haibucuo	还__不_错__
gangshoudaobaobeideshihoudianhuakashangqiwufashibie	刚___收___到__宝__贝__的_时__候__电___话__卡_上____起_无_法_识__别__
houjingguokefudejieshikeyishibiele	后__经___过__客_服_的_解__释__可_以_识__别__了_
fanyingsudukeyi	反__应___速_度_可_以_
kaijisuduyoudianman	开__机_速_度_有__点___慢__
zhengtixingjiabigao	整____体_性___价__比_高__
danshitonghuazhiliang	但__是__通___话__质__量____
haidejixukankan	还__得_继_续_看__看__
bangrenjiamaide	帮___人__家__买__的_
tashuoshoujihaibucuo	他_说___手___机_还__不_错__
xitongyehenliuchang	系_统___也_很__流__畅____
jingdongdesuduhaishikeyixinlaide	京___东___的_速_度_还__是__可_以_信__赖__的_
a	啊
haiyouyige	还__有__一_个_
doubuzhidaomailejige	都__不_知__道__买__了_几_个_
xingjiabihengaodeshouji	性___价__比_很__高__的_手___机_
feichangbucuo	非__常____不_错__
zhidegoumai	值__得_购__买__
meizudeshoujishouganhaishibucuode	魅__族_的_手___机_手___感__还__是__不_错__的_
yijingshimaidierkuanle	已_经___是__买__第_二_款___了_
xingjiabiyetinggaode	性___价__比_也_挺___高__的_
bucuo	不_错__
heshiwuyiyang	和_实__物_一_样___
wuliuyekuai	物_流__也_快___
henmanyi	很__满__意_
daipengyoumaide	代__朋___友__买__的_
pengyoushuohenhaokan	朋___友__说___很__好__看__
henchaozhi	很__超___值__
bucuo	不_错__
zhengpin	正____品__
fahuoshijiankuai	发_货__时__间___快___
zhengpinfangxin	正____品__放___心__
gangshoudao	刚___收___到__
haimeifaxianwenti	还__没__发_现___问__题_
yongyongzaikan	用___用___在__看__
buguo	不_过__
shoujiganjuegongnengtingqiangda	手___机_感__觉__功___能___挺___强____大_
bucuo	不_错__
shoujishouganhao	手___机_手___感__好__
zhi	值__
pingmuyansehao	屏___幕_颜__色_好__
fahuojishi	发_货__及_时__
ganggangshangshou	刚___刚___上____手___
wuchaosuozhi	物_超___所__值__
heibianbukuan	黑__边___不_宽___
haodianlvekuai	耗__电___略__快___
paizhaolvezha	拍__照___略__渣__
waiguanhaokan	外__观___好__看__
xitonghaokan	系_统___好__看__
shouganbucuo	手___感__不_错__
biankuangbuzhai	边___框____不_窄___
shoujiwaiguanpiaoliangxitongliuchang	手___机_外__观___漂___亮____系_统___流__畅____
dandiaodianruniaobeng	但__掉___电___如_尿___崩___
haiyouwo22haodejiqiqueshi27haodegujian	还__有__我_22号__的_机_器_却__是__27号__的_固_件___
kefugeiwogejieshi	客_服_给__我_个_解__释__
shoujishoudaole	手___机_收___到__了_
womeikandao	我_没__看__到__
woxifushuohaixing	我_媳_妇_说___还__行___
tinghaokan	挺___好__看__
shuohaopinggeijingdou	说___好__评___给__京___豆__
jiuhaopingba	就__好__评___吧_
kuaidisongdexunsu	快___递_送___的_迅__速_
dangtianjiudao	当___天___就__到__
5dpingmushouganhao	5d屏___幕_手___感__好__
tonghuaqingxi	通___话__清___晰_
dianchixuhanghaikeyi	电___池__续_航___还__可_以_
haikeyi	还__可_以_
yizhixinlaijingdongziying	一_直__信__赖__京___东___自_营___
weishenmewodedingdanzidongjiushouhuowanchengle	为__什___么_我_的_订___单__自_动___就__收___货__完__成____了_
shoujitinghaode	手___机_挺___好__的_
danshibiankuangyoudiaoqi	但__是__边___框____有__掉___漆_
youkenengyihoudiaoqihuigengyanzhong	有__可_能___以_后__掉___漆_会__更___严__重____
tinghaode	挺___好__的_
henyouzhigan	很__有__质__感__
chongdianhenkuai	充____电___很__快___
zongzhi	总___之__
shoujishimeideshuode	手___机_是__没__得_说___的_
shoujibangbangda	手___机_棒___棒___哒_
jingdongdesudukuaidehena	京___东___的_速_度_快___的_很__啊
sousousoudejiuliatian	嗖__嗖__嗖__的_就__俩__天___
feichanghao	非__常____好__
dianchiyehao	电___池__也_好__
wohaixiangmaiyitai	我_还__想____买__一_台__
zuihouzanyixiajingdongkuaidi	最__后__赞__一_下__京___东___快___递_
henkuai	很__快___
fuwuhenhao	服_务_很__好__
caozuoxitongfenggeqingxin	操__作__系_统___风___格_清___新__
gerenhenxihuan	个_人__很__喜_欢___
caozuoqilaihenliuchang	操__作__起_来__很__流__畅____
xuduogongnenghentiexin	许_多__功___能___很__贴__心__
meizushoujiwaiguanpiaoliang	魅__族_手___机_外__观___漂___亮____
shishouganzuihaodeshoujizhiyi	是__手___感__最__好__的_手___机_之__一_
shoujimuqianyiqiedouhao	手___机_目_前___一_切__都__好__
henlingmin	很__灵___敏__
wangsuyekuai	网___速_也_快___
jiushifanhuijianyouxiebutaihaoyong	就__是__返__回__健___有__些__不_太__好__用___
bangpengyoumaide	帮___朋___友__买__的_
tashuoyongdehenshunshou	他_说___用___的_很__顺___手___
tingbucuode	挺___不_错__的_
yangzihaibucuo	样___子_还__不_错__
bangbierenmaide	帮___别__人__买__的_
haihao	还__好__
jiushiheileyicipingmu	就__是__黑__了_一_次_屏___幕_
henjiucaifanyingguolai	很__久__才__反__应___过__来__
haohaohao	好__好__好__
xiwangnenggouyongshangyiduanshijian	希_望___能___够__用___上____一_段___时__间___
kanzhehaihao	看__着__还__好__
danyuanzhiliangmeiwenti	但__愿___质__量____没__问__题_
32gshiwoxiangyaode	32g是__我_想____要__的_
haoping	好__评___
congshuangshiyidaoxianzai	从___双_____十__一_到__现___在__
maileliangci	买__了_两____次_
diyicibawodejiandiule	第_一_次_把_我_的_件___丢__了_
ranhoumeijingguowodetongyixiageiwoquxiaodingdan	然__后__没__经___过__我_的_同___意_下__给__我_取_消___订___单__
ranhoujiaowomaidierci	然__后__叫___我_买__第_二_次_
qianhoujiaqilaikuaiershitian	前___后__加__起_来__快___二_十__天___
diercifahuoguolai	第_二_次_发_货__过__来__
juranganghuamopaonaqule	居_然__钢___化__膜_跑__哪_去_了_
wo	我_
maigeilaomayongde	买__给__老__妈_用___的_
laomashuofanyingkuai	老__妈_说___反__应___快___
pingmubijiaopiananbugouliang	屏___幕_比_较___偏___暗_不_够__亮____
buguobuyingxiangyuedu	不_过__不_影___响____阅__读_
zanshimeishadawenti	暂__时__没__啥__大_问__题_
bijiaomanyi	比_较___满__意_
jiushibuzhidaonaiyongbu	就__是__不_知__道__耐__用___不_
huoshoudaole	货__收___到__了_
bucuo	不_错__
jiageyebianyi	价__格_也_便___宜_
songhuohenkuai	送___货__很__快___
haimeishiyong	还__没__试__用___
xiwanghaoyong	希_望___好__用___
ewumeijialian	饿物_美__价__廉___
henhao	很__好__
haoping	好__评___
ganjueshimeizulipingmusecaizuilandeshouji	感__觉__是__魅__族_里_屏___幕_色_彩__最__烂__的_手___机_
zhongguorenzhendezhishihuimofanma	中____国__人__真___的_只__是__会__模_范__吗_
qianshexiangtouyuanburuhuaweide	前___摄__像____头__远___不_如_华__为__的_
houshexiangtoushuoyou1300zuiduogenhuaweide4a800wanyiyang	后__摄__像____头__说___有__1300最__多__跟__华__为__的_4a800万__一_样___
xiaogongsihaishixiaogongsi	小___公___司_还__是__小___公___司_
yongyuanzhinengzaizhongguokengmai	永___远___只__能___在__中____国__坑___卖__
benlaikanhaoduohaopingxiangxinlekeshimailehouchedihouhuiledongxichahaixuepingguolaigexiaoka	本__来__看__好__多__好__评___相____信__了_可_是__买__了_后__彻__底_后__悔__了_东___西_差__还__学__苹___果__来__个_小___卡_
shenzhigongnengjian	甚___至__功___能___键___
haiyoujiushichakadedefanghuisongdong	还__有__就__是__插__卡_的_地_方___会__松___动___
zheshibushizhekuanshoujidetongbingwobuzhidao	这__是__不_是__这__款___手___机_的_通___病___我_不_知__道__
wanyouxihuifare	玩__游__戏_会__发_热_
haoxiangmeikuanshoujidoushizheyang	好__像____每__款___手___机_都__是__这__样___
dianchixuhangtinghaode	电___池__续_航___挺___好__的_
woyebuzenmeduoshuo	我_也_不_怎__么_多__说___
shoujimanzushenghuoxuqiujiukeyile	手___机_满__足_生____活__需_求__就__可_以_了_
hebizhuiqiugaodashang	何_必_追___求__高__大_上____
shoujizhegejiagetingbucuode	手___机_这__个_价__格_挺___不_错__的_
pingmusuiranmeiyouqianyuanjinamehaobuguokanqilaihaishihenbucuode	屏___幕_虽__然__没__有__千___元___机_那_么_好__不_过__看__起_来__还__是__很__不_错__的_
liuchangduhaikeyi	流__畅____度_还__可_以_
buxiangyouxierenshuodekadeqingkuang	不_像____有__些__人__说___的_卡_的_情___况____
ruguoshijianjiulekenenghuichuxiankadun	如_果__时__间___久__了_可_能___会__出__现___卡_顿__
wobuzhidaonaxiechapingshizenmehuishi	我_不_知__道__那_些__差__评___是__怎__么_回__事__
xiangsuganjuepianbaidianbijingzheshoujibugui	像____素_感__觉__偏___白__点___毕_竟___这__手___机_不_贵__
yinweishoujiyouxianjiubushangtupianle	因__为__手___机_有__限___就__不_上____图_片___了_
haiyoukuaidi	还__有__快___递_
sudukuaideshuohaoshenmeshihoudaojiushenmeshihoudao	速_度_快___的_说___好__什___么_时__候__到__就__什___么_时__候__到__
kuaidiliangtianjiudaole	快___递_两____天___就__到__了_
shoujibucuo	手___机_不_错__
shoujibucuo	手___机_不_错__
shouganchaohao	手___感__超___好__
daai	大_爱_
yirujiwangdehao	一_如_既_往___的_好__
zhiqianlaomayonglemeilan	之__前___老__妈_用___了_魅__蓝__
yinianleyizhihenliuchang	一_年___了_一_直__很__流__畅____
xianzaibangshushumailemeilan2tayehenmanyi	现___在__帮___叔__叔__卖__了_魅__蓝__2他_也_很__满__意_
bucuohenhaoyong	不_错__很__好__用___
pingmuhenqingxi	屏___幕_很__清___晰_
meizuxitongfeichangbucuo	魅__族_系_统___非__常____不_错__
ruanjianyeshaobijiaorenxinghua	软___件___也_少___比_较___人__性___化__
keyihehuaweishuo88le	可_以_和_华__为__说___88了_
shoujishoudao	手___机_收___到__
bangpengyoumaide	帮___朋___友__买__的_
wuliugeili	物_流__给__力_
pengyoumanyi	朋___友__满__意_
xiangxinjingdong	相____信__京___东___
zhichijingdong	支__持__京___东___
geilaobamaide	给__老__爸_买__的_
zanshihaimeiyouyong	暂__时__还__没__有__用___
buzhidaohaobuhaoyong	不_知__道__好__不_好__用___
xingjiabigao	性___价__比_高__
yonghouzaizhuijiapingjia	用___后__再__追___加__评___价__
zongtiganjuehenhao	总___体_感__觉__很__好__
shouganbucuo	手___感__不_错__
pinglundaizhuijiaba	评___论__待__追___加__吧_
yijingshenqinghuanhuo	已_经___申___请___换___货__
qingshangjiakuaisujiejue	请___商____家__快___速_解__决__
geibierenmaide	给__别__人__买__的_
buzhidao	不_知__道__
bucuo	不_错__
xingjiabitinggao	性___价__比_挺___高__
jiushimaishangdiertianjiangjiale	就__是__买__上____第_二_天___降____价__了_
shoujihenbucuo	手___机_很__不_错__
chaoguoyuqi	超___过__预_期_
buzuzhichujiushidianyuanjianyoudianying	不_足_之__处__就__是__电___源___键___有__点___硬___
huidanlida	回__弹__力_大_
houshexiangtoubutuchujiugengwanmeile	后__摄__像____头__不_突_出__就__更___完__美__了_
ganggangdaoshou	刚___刚___到__手___
feichangxihuan	非__常____喜_欢___
daaizhezhongganjue	大_爱_这__种____感__觉__
lajilajilajilajilaji	垃_圾_垃_圾_垃_圾_垃_圾_垃_圾_
xiangsugenbenjiumeinamegao	像____素_根__本__就__没__那_么_高__
duijiaomandehaiyiyang	对__焦___慢__的_嗨__一_样___
bangongshigangmaileliangge	办__公___室__刚___买__了_两____个_
fanyingbucuo	反__应___不_错__
tongshirangdaigouyige	同___事__让___代__购__一_个_
ganjuehaikeyi	感__觉__还__可_以_
buzhidaoyihouhuizenyang	不_知__道__以_后__会__怎__样___
couhezheyongmeiwenti	凑__合_着__用___没__问__题_
diercimaile	第_二_次_买__了_
bucuo	不_错__
zhecibangtongshimaide	这__次_帮___同___事__买__的_
bucuo	不_错__
zhegejiageneng	这__个_价__格_能___
zheyanghenhaole	这__样___很__好__了_
geilaobamaidehenhaolehehe	给__老__爸_买__的_很__好__了_呵_呵_
henhao	很__好__
wuliuyehenkuai	物_流__也_很__快___
jiubufatupianle	就__不_发_图_片___了_
shoujibucuo	手___机_不_错__
zhichimeizu	支__持__魅__族_
zheshizaijingdongmaidediliubumeizushoujile	这__是__在__京___东___买__的_第_六__部_魅__族_手___机_了_
henhaohengeili	很__好__很__给__力_
xiawujiusongdaole	下__午_就__送___到__了_
songhuofeichangkuai	送___货__非__常____快___
zaochenkandaode	早__晨___看__到__的_
kanlepinglunjuedehaibucuo	看__了_评___论__觉__得_还__不_错__
jiupaile	就__拍__了_
huodaole	货__到__了_
haimeishijianchaifeng	还__没__时__间___拆___封___
haibuzhidaoqingkuang	还__不_知__道__情___况____
kaishijuedeguochanshoujibuhao	开__始__觉__得_国__产___手___机_不_好__
kantongshimaileliangtaiyongzhebucuo	看__同___事__买__了_两____台__用___着__不_错__
yegenzhemaileyitai	也_跟__着__买__了_一_台__
shiyongqilaiqueshibucuo	使__用___起_来__确__实__不_错__
youxialeyidanpro5	有__下__了_一_单__pro5
zheciteyizaikuaidigehaimeizouzhiqianshilexiashengyin	这__次_特_意_在__快___递_哥_还__没__走__之__前___试__了_下__声____音__
feichanghao	非__常____好__
yaobiwozaiyongde5hao	要__比_我_在__用___的_5好__
qitayiqiezhengchang	其_它_一_切__正____常____
jintiangangmaide	今__天___刚___买__的_
kuaidihenkuaizaoshang10dianxiadan	快___递_很__快___早__上____10点___下__单__
xiawu4dianduojiudaole	下__午_4点___多__就__到__了_
shangcimaidemx5tingtongshengyinpoyin	上____次_买__的_mx5听___筒___声____音__破_音__
buxiangtuilejiuziyihualejishikuaihuanlege	不_想____退__了_就__自_已_花__了_几_十__块___换___了_个_
ganjueshengyinhaishibudaqingxi	感__觉__声____音__还__是__不_大_清___晰_
bucuo	不_错__
henxihuanmeizushouji	很__喜_欢___魅__族_手___机_
shouganchaohao	手___感__超___好__
shoujiyexingjiabigao	手___机_也_性___价__比_高__
zhide	值__得_
woyun	我_晕__
pingmupangbiandejiaodoulouchulaile	屏___幕_旁___边___的_胶___都__漏__出__来__了_
zhezuogong	这__做__工___
wuyule	无_语_了_
meizumx4prolaoyonghu	魅__族_mx4pro老__用___户_
zhecimeizuzhongyuzuolegebukadeshoujile	这__次_魅__族_终____于_做__了_个_不_卡_的_手___机_了_
feichangliuchang	非__常____流__畅____
yidianyebuka	一_点___也_不_卡_
liuchangdubushu6s	流__畅____度_不_输__6s
jinshuzuochusuliaogan	金__属__做__出__塑_料___感__
zhenshizuile	真___是__醉__了_
shexiangtouzhiyaohuanjingan	摄__像____头__只__要__环___境___暗_
paichulaijiucanburendu	拍__出__来__就__惨__不_忍__睹_
meizudebeikewannianbubian	魅__族_的_背__壳_万__年___不_变___
nankan	难__看__
muqiantingmanyi	目_前___挺___满__意_
wuliutingkuai	物_流__挺___快___
zaoshang11dianxiadan	早__上____11点___下__单__
xiawu5dianjiudaoshoule	下__午_5点___就__到__手___了_
tingxihuanzhekuanshouji	挺___喜_欢___这__款___手___机_
buguojianyisongganghuamo	不_过__建___议_送___钢___化__膜_
zheyanghuiyougengduorenmai	这__样___会__有__更___多__人__买__
shouganchaojihao	手___感__超___级_好__
bangtongshimaide	帮___同___事__买__的_
shiyongleyixia	试__用___了_一_下__
henbucuo	很__不_错__
woyongguomx3	我_用___过__mx3
mx4pro	mx4pro
xiawushoudaopro5	下__午_收___到__pro5
wokao	我_靠__
zheshoujizhenshiliuchangdemeihuashuo	这__手___机_真___是__流__畅____的_没__话__说___
kenengyaoguigongyusanxing7420	可_能___要__归__功___于_三__星___7420
0	0
jueduiqijianpeizhi	绝__对__旗_舰___配__置__
shuang	爽_____
shoujihenhao	手___机_很__好__
yizhidouzaiyongmeizushouji	一_直__都__在__用___魅__族_手___机_
taikuaile	太__快___了_
zhongwupaide	中____午_拍__的_
wanshangjiudaole	晚__上____就__到__了_
ganxiekuaidixiaoge	感__谢__快___递_小___哥_
zhemelengdetianhaigeiwosongkuaidi	这__么_冷___的_天___还__给__我_送___快___递_
n	嗯
zhexingjiabihaishizhidegoumaide	这__性___价__比_还__是__值__得_购__买__的_
zaoshangpaixiawujiudao	早__上____拍__下__午_就__到__
zongtilaishuohaisuanmanyi	总___体_来__说___还__算___满__意_
diyiciyongmeizuxitongganjuehaixing	第_一_次_用___魅__族_系_统___感__觉__还__行___
jizigefangmiandouhao	机_子_各_方___面___都__好__
jiushiyouyidian	就__是__有__一_点___
shoujidelabayinzhiyoudianbugangongwei	手___机_的_喇_叭_音__质__有__点___不_敢__恭___维__
yinzhitaicile	音__质__太__次_了_
zhedianyoudaijiaqiang	这__点___有__待__加__强____
zhesudushensua	这__速_度_神___速_啊
shiyonglebantian	试__用___了_半__天___
zhilianghaishibucuode	质__量____还__是__不_错__的_
hepingguoplusyiyangyong	和_苹___果__plus一_样___用___
baozhuangtaichale	包__装_____太__差__了_
yebupazasuile	也_不_怕_砸_碎__了_
bishangcichaduole	比_上____次_差__多__了_
fapiaoyemeiyou	发_票___也_没__有__
henhaohenqiangda	很__好__很__强____大_
dequebucuo	的_确__不_错__
henhaoyong	很__好__用___
erqiejingdongkeyimianxifenqi	而_且__京___东___可_以_免___息_分__期_
zhendezhidemaideyibuji	真___的_直__得_买__的_一_部_机_
maigeimeimeiyongde	买__给__妹__妹__用___的_
haiyaokankanganjuezenmeyangda	还__要__看__看__感__觉__怎__么_样___哒_
ganjuehaixing	感__觉__还__行___
zaijingdongshangchengmaileyibumeizunote2liangbumeilan2	在__京___东___商____城____买__了_一_部_魅__族_note2两____部_魅__蓝__2
gancixidierbu	甘__次_系_第_二_部_
599qianggou	599抢____购__
yifenleyifenhuo	一_分__了_一_分__货__
youxiegongnengxichadianbiqiwoxianzaizhebumeilan2	有__些__功___能___系_差__点___比_起_我_现___在__这__部_魅__蓝__2
xihuan	喜_欢___
disangemeilanle	第_三__个_魅__蓝__了_
tinghaode	挺___好__的_
piaoliang	漂___亮____
kanleshiquanxinji	看__了_是__全___新__机_
shoujiqiantianxiawuxiadedan	手___机_前___天___下__午_下__的_单__
diertianzaoshangjiudaole	第_二_天___早__上____就__到__了_
chaozan	超___赞__
manyi	满__意_
shoujibucuo	手___机_不_错__
fahuosuduyehenkuai	发_货__速_度_也_很__快___
jingdongwuliuhaishibucuode	京___东___物_流__还__是__不_错__的_
zhengtihenmanyi	整____体_很__满__意_
tinghaode	挺___好__的_
shoujihenpiaoliang	手___机_很__漂___亮____
fanyinghenkuai	反__应___很__快___
benlaixiangmailuojide	本__来__想____买__裸__机_的_
danshizhiyoutaocanjiagede	但__是__只__有__套__餐__价__格_的_
tiemohaikeyi	贴__膜_还__可_以_
jiushishoujipitaobushinazhongfangaide	就__是__手___机_皮_套__不_是__那_种____翻__盖__的_
kuaidihenkuaidiertianzhongwujiudaole	快___递_很__快___第_二_天___中____午_就__到__了_
diercimaizheshouji	第_二_次_买__这__手___机_
haikeyi	还__可_以_
yige	一_个_
xingjiabigao	性___价__比_高__
shoujihenhaoyongcaozuojiandanxitongliuchang	手___机_很__好__用___操__作__简___单__系_统___流__畅____
yijingmailianggelezhegeshibangbierenmaide	已_经___买__两____个_了_这__个_是__帮___别__人__买__的_
jiushigongkaibanlaoshimeihuozhiyoumaiyidongbandele	就__是__公___开__版__老__是__没__货__只__有__买__移_动___版__得_了_
henpiaoliang	很__漂___亮____
feichanghaokan	非__常____好__看__
jiagebianyi	价__格_便___宜_
qitabuduoshuole	其_他_不_多__说___了_
shoujibucuoo	手___机_不_错__哦
haha	哈_哈_
shoujibucuoo	手___机_不_错__哦
waiguanhaokan	外__观___好__看__
pingda	屏___大_
shouganhao	手___感__好__
ganjuezhaoxiangbingbuxiangshuodenamehao	感__觉__照___相____并___不_想____说___的_那_么_好__
duibimx4laishuo	对__比_mx4来__说___
meiyoushenmetishengdeyangzi	没__有__什___么_提_升____的_样___子_
baobeihenhao	宝__贝__很__好__
shibuhaoshouji	是__部_好__手___机_
xingjiabigao	性___价__比_高__
shoujimeiwenti	手___机_没__问__题_
fahuosuduhenkuai	发_货__速_度_很__快___
xiangsudabudao	像____素_达_不_到__
xitongbutaishunshou	系_统___不_太__顺___手___
jiagegoudi	价__格_够__低_
zhidegoumai	值__得_购__买__
yishoudao	已_收___到__
ganjuehaibucuo	感__觉__还__不_错__
dengyongyiduanshijianzaikanxiaoguoruhe	等___用___一_段___时__间___在__看__效___果__如_何_
jiushiwuliumeiyouyiqiankuai	就__是__物_流__没__有__以_前___快___
henqingdeshouji	很__轻___的_手___机_
ganjuebucuo	感__觉__不_错__
houxuhuizhuijiapingjiao	后__续_会__追___加__评___价__哦
zuoshangjiaomingxianyoulouguang	左__上____角___明___显___有__漏__光____
xianyongliangtianshishi	先___用___两____天___试__试__
bumanyihaidehuan	不_满__意_还__得_换___
yongyiduanshijianzailaifenxiang	用___一_段___时__间___再__来__分__享____
shoujishoudaole	手___机_收___到__了_
pingmufenbianlvbutaihao	屏___幕_分__辨___率_不_太__好__
jiqifanyingsuduhaibucuo	机_器_反__应___速_度_还__不_错__
buguowoshoudaodejiqiheziheshoujijishendoumeiyoudianxindelogo	不_过__我_收___到__的_机_器_盒_子_和_手___机_机_身___都__没__有__电___信__的_logo
buzhidaozenmehuishi	不_知__道__怎__么_回__事__
henliuchang	很__流__畅____
haibucuo	还__不_错__
kuangyebiaoche8wanqidiandoubuka	狂____野_飙___车__8玩__起_点___都__不_卡_
shoujihaixing	手___机_还__行___
yinggaishixinde	应___该__是__新__的_
kexishiyidongdingzhiban	可_惜_是__移_动___订___制__版__
yuzhuangyiduiluanqibazao	预_装_____一_堆__乱___七_八_糟__
youdianbushuang	有__点___不_爽_____
haibucuo	还__不_错__
diyicijingdonggouwu	第_一_次_京___东___购__物_
tiaoxuanlehaojiu	挑___选___了_好__久__
yikuanmanyideshouji	一_款___满__意_的_手___机_
feichangxihuandeyikuanshouji	非__常____喜_欢___的_一_款___手___机_
xingjiabigao	性___价__比_高__
gankuairushouba	赶__快___入_手___吧_
qingshuangchaochuxiangxiang	清___爽_____超___出__想____象____
